603,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,982.00,"BENZ",43,"10/09/1973","0",,1010
607,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MILANO","MASERATI",1996.00,"BENZ",138,"01/01/1988","0",,1420
639,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA",,499.00,"BENZ",13,"01/01/1970","0",,840
647,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA",,1275.00,"BENZ",49,"01/01/1973","0",,990
677,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","COMO",,644.00,"BENZ",31,"01/01/1992","0",,315
684,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","VARESE",,498.00,"BENZ",37,"01/01/1979","0",,
685,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","VARESE",,644.00,"BENZ",31,"22/06/1992","0",,315
690,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO",,398.00,"BENZ",48,"22/07/1992","0",,330
692,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","PAVIA",,498.00,"BENZ",37,"10/09/1992","0",,340
703,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","HARLEY-DAVIDSON",1338.00,"BENZ",35,"29/03/1993","0",,420
704,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO",,599.00,"BENZ",72,"30/03/1993","0",,345
711,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","BRESCIA",,1085.00,"BENZ",59,"28/06/1995","1",,450
725,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MONZA E DELLA BRIANZA","SUZUKI",644.00,"BENZ",35,"22/05/1998","1",,375
726,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO",,121.00,"MISCELA",4,"01/01/1979","0",,
730,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","VARESE","MBK",399.00,"BENZ",27,"15/06/1999","0",,205
731,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","BMW",1085.00,"BENZ",59,"02/07/1999","1",,450
752,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MONZA E DELLA BRIANZA",,249.00,"B/OLIO",46,"01/01/1991","0",,306
756,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","DUCATI",748.00,"BENZ",46,"15/05/1996","0",,340
764,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","VARESE","MOTO GUZZI",1064.00,"BENZ",54,"03/06/1999","1",,449
770,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1301.00,"BENZ",48,"08/11/1978","0",,1280
789,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1192.00,"BENZ",27,"03/10/1978","0",,1290
795,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","VOLVO",1986.00,"BENZ",85,"11/12/1990","0",,1800
796,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO","IVECO - FIAT",5861.00,"GASOL",102,"01/01/1988","0",,8000
799,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","ALFA ROMEO",1962.00,"BENZ",107,"02/01/1991","0",,1625
803,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO","NISSAN",3246.00,"GASOL",81,"05/05/1988","0",,2450
809,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","FIAT - INNOCENTI",1697.00,"GASOL",42,"24/05/1988","0",,1470
819,"A","AUTOVEIC.TRASP.PROMISCUO PERSONE/COSE","PROPRIO","BERGAMO","VOLVO",2383.00,"GASOL",82,"01/01/1985","0",,1830
826,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","MITSUBISHI",2477.00,"GASOL",62,"01/01/1988","0",,2450
828,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","LANCIA - AUTOBIANCHI",1995.00,"BENZ",122,"01/01/1986","0",,1650
